EPIC,RA,Dec,Ch,Col,Row
206101883,336.5521,-12.05075,44,541,429
206154546,337.66173,-10.67795,43,166,892
206093346,336.86654,-12.2716,44,657,106
206095286,335.06795,-12.22156,62,1072,234
206209404,338.52756,-9.60849,22,945,624
206117340,334.18923,-11.64907,61,286,588
206045955,336.11275,-13.52937,58,171,33
206054412,334.75308,-13.30499,62,416,1016
206072064,334.20019,-12.83144,63,1044,986
206069576,339.27249,-12.89786,39,145,1017
206246606,334.21902,-9.04007,47,361,903
206094022,333.62785,-12.25375,64,464,858
206139549,333.0704,-11.06556,67,340,1045
206354282,336.64457,-7.37755,27,417,881
206149074,332.63238,-10.82039,67,742,844
205982096,336.43407,-15.35721,59,873,604
206021825,333.10732,-14.19396,78,556,77
206404765,337.8263,-6.55515,28,511,873
206182139,331.94345,-10.07858,68,583,709
206007739,340.08699,-14.60411,34,448,235
206410048,338.14192,-6.46718,28,233,968
205966160,335.6304,-15.85015,60,521,635
205984021,339.64053,-15.29926,33,1094,522
206303603,332.362,-8.18573,69,231,247
205950704,337.61143,-16.3467,54,544,292
205962004,334.3633,-15.97976,73,1045,70
206159530,342.12588,-10.55547,2,914,172
205938920,336.64279,-16.74211,53,785,104
206033449,331.60928,-13.86968,77,695,1011
205949434,339.02682,-16.38799,33,88,1024
206165844,342.52889,-10.40784,2,1015,542
205940019,334.89337,-16.70436,74,378,53
206043611,342.39792,-13.59263,14,838,664
206502122,336.02868,-4.83702,29,952,901
206230439,330.53129,-9.28228,70,77,326
206013159,331.11618,-14.44693,80,895,506
205974636,341.36667,-15.5834,35,52,559
206415146,332.06316,-6.38256,51,102,415
205938043,340.16275,-16.77093,36,697,292
205995567,330.84594,-14.95176,79,1076,57
205914703,338.91975,-17.62003,55,275,277
