EPIC,RA,Dec,Ch,Col,Row
212775557,202.9911804,-6.2558169,69,789,215
212356048,201.8631897,-15.9735813,54,579,458
212681727,205.4032288,-8.7029839,45,933,885
212280528,207.4678497,-18.1341686,15,670,400
212501232,201.6798706,-12.7076626,57,1078,135
212618733,203.2419739,-10.1650028,61,285,56
212289316,206.8558044,-17.8598385,16,1000,576
212348179,206.1242828,-16.1790714,13,190,153
212514429,206.4846649,-12.4265261,21,279,47
212655748,211.6784363,-9.3135157,12,1027,434
212685322,198.4234772,-8.6182766,83,141,235
212638538,206.8058472,-9.7094517,26,62,137
212706859,198.8401337,-8.0898132,83,667,533
212477735,203.6685486,-13.214325,37,291,350
212397473,211.1124115,-14.9717054,4,1034,404
212323171,201.5260773,-16.8584881,55,751,868
212645003,208.9498138,-9.5599089,25,277,500
212703886,210.0194855,-8.1616421,10,320,135
212338064,204.9938354,-16.4465332,34,401,514
212421951,200.5266724,-14.4198742,60,295,347
212567178,200.0832672,-11.3041306,78,527,107
212708104,208.7425079,-8.0588436,28,622,338
212507267,200.5343781,-12.5795431,57,59,167
212801410,205.9759827,-5.4989362,52,790,928
212558932,199.341568,-11.4835281,78,270,735
212571053,197.9189758,-11.2216511,79,318,146
212609698,198.687973,-10.3703833,80,1042,708
212719194,207.7117462,-7.784287,27,655,196
212658101,211.0894623,-9.2576809,12,1017,963
212636554,208.9713287,-9.7552834,25,238,327
212725073,206.2369843,-7.6343932,48,314,226
212626055,200.3009796,-9.9991083,77,500,85
212726497,207.6355133,-7.5986142,27,568,38
212725494,203.3521576,-7.6226101,65,576,266
212518069,198.974884,-12.3501396,73,202,942
212402515,211.3042755,-14.8570709,3,1070,236
212548979,208.5330048,-11.6953707,23,1072,396
212637009,210.9906158,-9.7450886,12,569,1004
212708093,208.743515,-8.0589981,28,621,338
212680487,199.4337616,-8.7332668,82,172,1021
212504061,199.7443237,-12.6480894,73,367,230
212702731,207.2057343,-8.1904144,27,248,617
212480300,199.2435303,-13.1588392,73,891,600
212788738,208.7357178,-5.8760929,32,861,963
212709512,207.0082397,-8.0249739,27,54,490
212783705,202.9675293,-6.0147591,69,840,429
212286667,206.1304474,-17.9370022,16,390,432
212524104,208.8813324,-12.2230616,24,713,34
212715737,204.3966217,-7.8718958,47,300,650
212291429,205.2113495,-17.7926712,35,61,465
212614618,202.95224,-10.2587204,61,403,300
212733214,205.8968201,-7.4271598,48,641,78
212435240,209.6243439,-14.1220617,2,568,392
212611748,211.8710175,-10.3236408,12,137,168
212573842,201.2982483,-11.1613188,63,809,520
212511738,199.9048309,-12.4835901,73,198,111
212617571,200.1168976,-10.1904249,77,695,222
212708252,198.8782043,-8.0551577,83,702,562
212508589,207.437149,-12.5514545,21,268,896
212505283,199.0570526,-12.6212339,73,434,834
212606089,205.3446045,-10.4525452,42,784,269
212673769,211.5740509,-8.8916187,11,829,578
212654375,204.84375,-9.3454247,46,869,244
212564534,207.7044983,-11.358779,22,855,1002
212461484,204.6156921,-13.556056,38,1065,547
200000000,201.2982483,-11.1613188,23,867,500
