RA,Dec,Name,Kepler_ID,SpType,[Fe/H],theta,2MASS ID,Data Availability,Observed,Proposals,Seasons on CCD,Teff,Log_G,E(B-V),g,r,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3,Condition flag
19 10 46.809,+38 54 19.76,HD_179396,3838362,K2,,,19104680+3854197,0,unobserved,,4,4662,2.316,0.059,8.778,7.923,6.37,8.001,369,14,6,2,404,614,74,22,2,404,619,70,20,2,408,620,10,4,2,409,614,
19 37 30.024,+45 13 35.27,HD_185524,8960196,K2,,,19373002+4513353,0,unobserved,,4,,,,9.457,8.313,6.193,8.022,165,45,14,1,867,420,21,8,1,865,424,37,12,1,860,424,61,18,1,861,419,
19 58 51.658,+47 21 43.49,HD_189636A,10298061,K0,,,19585165+4721434,0,unobserved,,4,4561,2.087,0.072,8.877,7.958,6.232,8.025,0,52,15,4,30,530,8,3,4,28,534,36,11,4,33,534,80,23,4,33,531,
19 59 47.522,+44 32 20.58,HD_189750,8521828,K0,,,19594752+4432205,0,unobserved,,4,4745,2.319,0.068,8.826,7.997,6.525,8.052,0,32,10,4,1033,750,4,2,4,1034,756,56,16,4,1038,755,84,24,4,1040,752,
19 58 51.888,+47 21 48.13,HD_189636B,10298067,K0,,,19585188+4721481,0,unobserved,,4,4645,2.45,0.056,8.856,8.061,6.458,8.107,0,52,15,4,28,531,8,3,4,27,535,36,11,4,32,535,80,23,4,32,531,
19 27 34.240,+37 07 04.78,BD+36 3564,1575741,K5,,,19273423+3707049,0,unobserved,,4,,,,9.944,8.516,6.134,8.128,141,4,2,4,169,804,56,16,4,172,802,84,24,4,175,799,32,10,4,168,798,
18 55 20.014,+40 08 19.75,BD+39 3577,4989821,G5,,,18552001+4008197,0,unobserved,,4,4870,2.513,0.057,8.819,8.062,6.636,8.131,217,35,11,3,249,536,79,23,3,249,539,51,15,3,245,540,7,3,3,244,536,
19 15 17.239,+40 06 49.21,V554_Lyr,5001462,.,,,19151723+4006492,0,unobserved,,2,9887,4.309,0.051,7.97,8.248,8.266,8.179,0,20,7,4,1041,473,,,,,,,,,,,28,9,4,1043,470,
19 24 19.632,+47 24 47.15,BD+47 2825,10337574,K0,,,19241963+4724471,0,unobserved,,4,,,,9.75,8.558,6.503,8.251,162,66,19,2,568,177,26,9,2,570,177,18,7,2,573,172,58,17,2,567,172,
19 42 36.562,+39 59 52.80,BD+39 3882,4850372,F5,,,19423656+3959528,0,unobserved,,4,6241,4.186,0.02,8.463,8.192,7.36,8.259,0,7,3,3,1039,373,35,11,3,1044,373,79,23,3,1044,377,51,15,3,1040,377,
18 45 27.778,+43 59 43.14,BD+43 3064,8075287,K5,,,18452778+4359432,0,unobserved,,3,,,,10.18,8.692,6.205,8.284,0,53,16,1,1039,499,81,24,1,1039,495,29,10,1,1044,495,,,,,,
18 46 17.738,+43 48 56.45,BD+43 3068,8006792,G0,,,18461773+4348564,0,unobserved,,4,5506,4.394,0.011,8.754,8.254,7.181,8.308,0,53,16,1,1037,711,81,24,1,1037,706,29,10,1,1042,707,1,2,1,1043,712,
19 19 34.212,+43 28 48.53,BD+43 3213,7747499,K5,,,19193421+4328488,0,unobserved,,4,,,,10.425,8.775,5.821,8.311,127,43,13,3,155,616,44,13,4,588,185,41,13,1,151,618,42,13,2,584,182,
18 45 00.626,+42 38 37.54,BD+42 3150,7091342,K0,,,18450062+4238375,0,unobserved,,4,4716,2.329,0.063,9.111,8.257,6.743,8.35,261,55,16,3,287,828,83,24,3,289,832,31,10,3,283,832,3,2,3,285,826,
19 09 49.678,+43 33 08.36,BD+43 3171,7810954,M0,,,19094967+4333081,0,unobserved,,4,,,,10.412,8.818,5.904,8.373,332,37,12,1,701,653,61,18,1,702,648,45,14,1,708,648,21,8,1,705,653,
19 30 17.338,+48 39 23.58,BD+48 2904,11085556,K0,,,19301733+4839235,0,unobserved,,4,4529,2.014,0.083,9.364,8.42,6.692,8.487,0,65,19,1,1040,683,25,9,1,1044,684,17,7,1,1044,688,57,17,1,1039,688,
19 39 29.487,+47 26 48.80,BD+47 2891,10347606,K0,,,19392948+4726490,0,unobserved,,2,,,,10.081,8.962,6.99,8.68,,,,,,,,,,,,39,12,3,22,218,63,18,3,24,222,
