RA,Dec,Name,Kepler_ID,SpType,[Fe/H],theta,2MASS ID,Data Availability,Observed,Proposals,Seasons on CCD,Teff,Log_G,E(B-V),g,r,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3,Condition flag
19 36 37.977,+44 41 41.77,HD_185351,8566020,G9IIIbCN,0.16,1.156,19363801+4441418,2, LC:Q1-3 SC:Q16 under,,4,,,,6.091,5.176,3.654,5.034,59,45,14,1,504,74,21,8,1,501,79,37,12,1,496,79,61,18,1,497,75,
19 40 50.183,+45 31 29.79,HD_186155,9163520,F5II-III,0.3,0.57,19405016+4531295,2, LC:Q1 under,,4,,,,5.44,5.065,4.419,5.055,66,48,14,4,703,388,24,8,4,704,392,40,12,4,707,392,64,18,4,709,388,
19 23 56.502,+43 23 17.42,HD_182694,7680115,  G7IIIa,-0.01,0.771,19235651+4323175,2, LC:Q2 under,,4,,,,6.76,5.86,4.437,5.722,137,43,13,3,711,153,44,13,4,126,740,41,13,1,707,155,42,13,2,122,738,
19 50 37.328,+40 35 59.13, V380_Cyg,5385723,B1.1III+B2.5/3V,1.25,0.226,19503733+4035591,2, LC:Q11 SC:Q7 9 10 12-17 under,,4,,,,5.615,5.675,5.712,5.771,122,12,4,4,845,749,16,6,4,850,750,76,22,4,848,745,72,20,4,846,744,Eclipsing_binary
19 52 07.166,+47 55 54.46,HD_188252,10683303,   B2III,,,19520719+4755545,2, LC:Q13 under,,4,,,,5.719,5.885,6.234,6.007,248,51,15,3,710,766,7,3,3,709,762,35,11,3,714,762,79,23,3,714,766,
19 17 19.978,+39 07 15.89,HD_181069,4049174,   K1III,,,19171994+3907163,2, LC:Q1 10 13 14 17 under,,4,,,,7.695,6.565,4.482,6.279,8,20,7,4,97,265,60,17,4,102,265,68,19,4,104,262,28,9,4,99,262,
18 52 07.250,+41 22 59.68,HD_175132,6020867,    B9sp,1.4,,18520723+4122596,2, LC:Q12 under,,4,,,,6.19,6.263,6.315,6.362,434,36,11,4,506,460,80,23,4,506,457,52,15,4,503,456,8,3,4,502,460,
19 53 01.246,+47 48 27.79, V819_Cyg,10618721,B0.5IIIn,,,19530125+4748276,2, LC:Q14 16 17 under,,4,,,,6.15,6.27,6.481,6.381,178,51,15,3,641,929,7,3,3,639,925,35,11,3,644,925,79,23,3,645,929,
19 46 32.768,+50 00 37.23,HD_187217,11824273,      K0,,,19463275+5000374,2, LC:Q14-17 under,,4,,,,7.814,6.685,5.179,6.399,174,72,20,4,551,932,12,4,4,550,937,16,6,4,556,937,76,22,4,553,931,
19 25 56.619,+44 55 50.71,HD_183124,8752618,      G5,,,19255662+4455508,2, LC:Q2 4 6 8 10 12 14 16 under,,4,,,,7.704,6.688,5.136,6.441,37,41,13,1,425,1070,42,13,2,1036,456,43,13,3,429,1067,44,13,4,1040,459,
18 59 12.292,+39 13 02.36,HD_176582,4136285,     B5V,,,18591229+3913022,2, LC:Q12-13 under,,4,,,,6.248,6.393,6.748,6.51,171,16,6,4,279,187,76,22,4,277,181,72,20,4,274,182,12,4,4,274,186,
19 15 43.694,+40 21 35.72,HD_180682,5177450,      K0,-0.43,,19154370+4021358,2, LC:Q0 3 7 under,,4,,,,8.284,6.967,4.673,6.617,5,17,7,1,979,662,57,17,1,974,662,65,19,1,975,657,25,9,1,979,658,
19 20 27.106,+39 55 34.31,HD_181878,4830109,      G5,-0.33,,19202710+3955343,2, LC:Q14-17 under,,4,,,,7.587,6.807,5.292,6.698,6,19,7,3,403,1101,59,17,3,408,1101,67,19,3,410,1104,27,9,3,405,1104,
18 46 28.102,+43 33 38.97,HD_174020,7800227,      K5,,,18462811+4333390,2, LC:Q2 6 10 14 under,,4,,,,8.749,7.187,4.893,6.753,17,56,16,4,1000,906,84,24,4,1002,903,32,10,4,996,902,4,2,4,998,908,
19 05 25.403,+42 10 39.55,HD_178090,6675338,      K5,,,19052540+4210393,2, LC:Q1 3 10 under,,4,,,,8.903,7.23,4.365,6.758,6,39,12,3,143,984,63,18,3,144,988,47,14,3,139,988,23,8,3,140,983,
18 55 25.649,+40 10 37.74,HD_175841,4989900,      A2,-0.2,,18552564+4010377,2, LC:Q11-12 14-16 SC:Q3 under,,4,7898,3.506,0.046,6.805,6.912,6.491,6.885,224,35,11,3,283,553,79,23,3,283,557,51,15,3,279,557,7,3,3,278,554,
19 55 54.077,+47 05 24.22,HD_189013,10096499,      A2,-0.6,,19555407+4705242,2, SC:Q3 gDor under,,4,7777,4.126,0.022,6.9,6.93,6.525,6.922,458,52,15,4,547,515,8,3,4,545,519,36,11,4,550,519,80,23,4,551,515,
