RA,Dec,Name,Kepler_ID,SpType,[Fe/H],theta,2MASS ID,Data Availability,Observed,Proposals,Seasons on CCD,Teff,Log_G,E(B-V),g,r,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3,Condition flag
18 54 52.177,+41 36 09.80,HD_175740,6265087,   G8III,-0.1,1.035,18545217+4136098,0, unobserved,,4,,,,6.486,5.462,4.08,5.212,0,36,11,4,996,590,80,23,4,996,586,52,15,4,992,586,8,3,4,991,590,
19 34 41.259,+42 24 45.03,HD_184875,6954647,     A2V,,0.349,19344127+4224448,0, unobserved,,4,,,,5.399,5.337,5.128,5.403,0,23,8,3,1020,434,39,12,3,1024,435,63,18,3,1025,438,47,14,3,1020,439,
19 39 26.485,+42 49 05.80,   14_Cyg,7292420,   B9III,0.08,0.267,19392648+4249057,0, unobserved,,4,,,,5.334,5.394,5.365,5.49,0,25,9,1,42,962,17,7,1,43,967,57,17,1,38,967,65,19,1,39,962,
19 57 13.868,+40 22 04.17,HD_189178,5219588,     B5V,,0.236,19571387+4022041,0, unobserved,,4,,,,5.356,5.448,5.595,5.552,0,11,4,3,130,564,15,6,3,135,564,75,22,3,133,569,71,20,3,132,569,
19 47 26.827,+47 54 27.23,HD_187372,10679281,   M1III,,2.693,19472682+4754273,0, unobserved,,4,,,,7.805,6.141,2.979,5.672,110,50,15,2,819,451,6,3,2,818,447,34,11,2,816,448,78,23,2,815,451,
19 40 41.150,+43 04 40.17,HD_186121,7456762,   M2III,,3.429,19404116+4304401,0, unobserved,,4,,,,7.735,6.198,2.561,5.773,44,25,9,1,338,1063,17,7,1,339,1068,57,17,1,334,1068,65,19,1,335,1063,
19 59 20.424,+45 46 21.15,HD_189684,9305008,   A5III,,0.293,19592041+4546210,0, unobserved,,4,,,,6.092,5.938,5.517,5.982,378,31,10,3,600,441,3,2,3,602,436,55,16,3,604,437,83,24,3,607,440,
19 18 37.871,+49 34 10.04,HD_181597,11555267,   K1III,,,19183785+4934098,0, unobserved,,4,,,,7.443,6.323,4.466,6.04,0,82,24,2,82,537,30,10,2,87,538,2,2,2,88,532,54,16,2,82,532,
19 36 32.407,+43 42 22.00,HD_185286,7966681,      K5,,,19363240+4342220,0, unobserved,,4,4092,1.432,0.044,7.3,6.025,4.331,6.151,0,26,9,2,34,326,18,7,2,36,320,58,17,2,31,320,66,19,2,32,325,
19 55 40.611,+40 10 22.44,HD_188875,5041881,      K2,,,19554061+4010225,0, unobserved,,4,,,,8.074,6.576,4.189,6.164,17,11,4,3,96,884,15,6,3,102,883,75,22,3,99,889,71,20,3,98,888,
18 53 28.527,+42 54 09.40,HD_176466,7340766,      K2,,,18532851+4254092,0, unobserved,,4,,,,8.277,6.628,3.858,6.165,113,54,16,2,632,129,82,24,2,632,133,30,10,2,636,133,2,2,2,638,128,
